[Machine Learning] | [机器学习]
A/B testing | n. A\/B测试  
accuracy | n. 准确率
activation function | n. 激活函数  
AdaGrad | n. 一种梯度下降法: 用于机器学习训练过程中的一种先进的梯度下降法，用于重新调整每个参数的梯度，以便有效地为每个参数指定独立的学习速率。
AUC (Area under the ROC Curve) | n. ROC 曲线下面积  
backpropagation | n. 反向传播算法  
baseline | n. 基准  
batch | n. 批次  
batch size | n. 批次大小  
bias | n. 偏差  
binary classification | n. 二元分类  
binning | n. 分箱  
bucketing | n. 分桶  
calibration layer | n. 校准层  
candidate sampling | n. 候选采样  
categorical data | n. 分类数据  
centroid | n. 形心  
checkpoint | n. 检查点  
class | n. 类别  
class-imbalanced data set | n. 分类不平衡的数据集  
classification model | n. 分类模型  
classification threshold | n. 分类阈值  
clustering | n. 聚类  
collaborative filtering | n. 协同过滤  
confusion matrix | n. 混淆矩阵  
continuous feature | n. 连续特征  
convergence | n. 收敛  
convex function | n. 凸函数  
convex optimization | n. 凸优化  
convex set | n. 凸集  
convolution | n. 卷积  
convolutional filter | n. 卷积过滤器  
convolutional layer | n. 卷积层  
convolutional neural network | n. 卷积神经网络  
convolutional operation | n. 卷积运算  
cost | n. 成本  
cross-entropy | n. 交叉熵  
custom Estimator | n. 自定义评估器  
data analysis | n. 数据分析  
DataFrame | n. 数据构架: Pandas库提供的一种数据类型，它类似于表格。DataFrame的每一列都有一个名称（标题），每一行都由一个数字标识。
data set | n. 数据集  
decision boundary | n. 决策边界  
dense layer | n. 密集层  
deep model | n. 深度模型  
dense feature | n. 密集特征  
device | n. 设备  
discrete feature | n. 离散特征  
dropout regularization | n. 丢弃正则化  
dynamic model | n. 动态模型  
early stopping | n. 早停法  
embeddings | n. 嵌套  
ERM (empirical risk minimization) | n. 经验风险最小化  
ensemble | n. 集成学习  
epoch | n. 周期  
Estimator | n. 评估器: TensorFlow提供的一种高级API。
example | n. 样本  
FN (false negative) | n. 假负例  
FP (false positive) | n. 假正例  
false positive rate | n. 假正例率/FP率
feature | n. 特征  
feature cross | n. 特征组合  
feature engineering | n. 特征工程  
feature set | n. 特征集  
feature spec | n. 特征规范  
few-shot learning | n. 少量样本学习  
full softmax | n. 完整softmax
fully connected layer | n. 全连接层  
generalization | n. 泛化  
generalized linear model | n. 广义线性模型  
gradient | n. 梯度  
gradient clipping | n. 梯度裁剪  
gradient descent | n. 梯度下降法  
graph | n. 图  
heuristic | n. 启发法  
hidden layer | n. 隐藏层  
hinge loss | n. 合页损失函数  
holdout data | n. 维持数据  
hyperparameter | n. 超参数  
hyperplane | n. 超平面  
i.i.d (independently and identically distributed) | n. 独立同等分布  
inference | n. 推断  
input function | n. 输入函数  
input layer | n. 输入层  
instance | n. 实例  
interpretability | n. 可解释性  
inter-rater agreement | n. 评分者间一致性信度  
iteration | n. 迭代  
k-means | n. 一种聚类算法
k-median | n. 一种聚类算法
Keras | n. 一个机器学习软件库，后并入TensorFlow
KSVM (Kernel Support Vector Machines) | n. 核支持向量机  
L1 loss | n. L1 损失函数  
L1 regularization | n. L1 正则化  
L2 loss | n. L2 损失函数  
L2 regularization | n. L2 正则化  
label | n. 标签  
labeled example | n. 有标签样本  
lambda | n. 正则化率; n. 在Python中指匿名函数
layer | n. 层  
learning rate | n. 学习速率  
least squares regression | n. 最小二乘回归  
linear regression | n. 线性回归  
logistic regression | n. 逻辑回归  
logits | n. 对数  
Log Loss | n. 对数损失函数  
log-odds | n. 对数几率  
Loss | n. 损失  
machine learning | n. 机器学习  
MSE, Mean Squared Error | n. 均方误差  
metric | n. 指标  
mini-batch | n. 小批次  
SGD (mini-batch stochastic gradient descent) | n. 小批次随机梯度下降法
ML (Machine Learning) | n. 机器学习
model | n. 模型  
model function | n. 模型函数  
model training | n. 模型训练  
Momentum | n. 动量  
multi-class classification | n. 多类别分类  
multinomial classification | n. 多项分类  
NaN trap | n. NaN 陷阱  
negative class | n. 负类别  
neural network | n. 神经网络  
neuron | n. 神经元  
node | n. 节点  
normalization | n. 标准化  
numerical data | n. 数值数据  
Numpy | n. Python软件库，提供各种用于科学计算的函数。
objective | n. 目标  
offline inference | n. 离线推断  
one-hot encoding | n. 独热编码  
one-shot learning | n. 单样本学习: 通常用于对象分类
one-vs.-all | n. 一对多  
online inference | n. 在线推断  
op (Operation) | n. 操作  
optimizer | n. 优化器  
outlier | n. 离群值  
output layer | n. 输出层  
overfitting | n. 过拟合  
Pandas | n. 一个Python软件库，提供用以访问和检查数据集的工具。
